Código;Descripción
M00.17;Artritis y poliartritis neumocócica, tobillo y pie
M00.18;Artritis y poliartritis neumocócica, otros
M00.19;Artritis y poliartritis neumocócica, sitio no especificado
M00.20;Otras artritis y poliartritis estreptocócicas, sitios múltiples
M00.21;Otras artritis y poliartritis estreptocócicas, región del hombro
M00.22;Otras artritis y poliartritis estreptocócicas, brazo
M00.23;Otras artritis y poliartritis estreptocócicas, antebrazo
M00.24;Otras artritis y poliartritis estreptocócicas, mano
M00.25;Otras artritis y poliartritis estreptocócicas, región pelviana y muslo
M00.26;Otras artritis y poliartritis estreptocócicas, pierna
M00.27;Otras artritis y poliartritis estreptocócicas, tobillo y pie
M00.28;Otras artritis y poliartritis estreptocócicas, otros
M00.29;Otras artritis y poliartritis estreptocócicas, sitio no especificado
M00.80;Artritis y poliartritis debidas a otros agentes bacterianos especificados, sitios múltiples
M00.81;Artritis y poliartritis debidas a otros agentes bacterianos especificados, región del hombro
M00.82;Artritis y poliartritis debidas a otros agentes bacterianos especificados, brazo
M00.83;Artritis y poliartritis debidas a otros agentes bacterianos especificados, antebrazo
M00.84;Artritis y poliartritis debidas a otros agentes bacterianos especificados, mano
M00.85;Artritis y poliartritis debidas a otros agentes bacterianos especificados, región pelviana y muslo
M00.86;Artritis y poliartritis debidas a otros agentes bacterianos especificados, pierna
M00.87;Artritis y poliartritis debidas a otros agentes bacterianos especificados, tobillo y pie
M00.88;Artritis y poliartritis debidas a otros agentes bacterianos especificados, otros
M00.89;Artritis y poliartritis debidas a otros agentes bacterianos especificados, sitio no especificado
M00.90;Artritis piógena, no especificada, sitios múltiples
M00.92;Artritis piógena, no especificada, brazo
M00.93;Artritis piógena, no especificada, antebrazo
M00.94;Artritis piógena, no especificada, mano
M00.95;Artritis piógena, no especificada, región pelviana y muslo
M00.96;Artritis piógena, no especificada, pierna
M00.97;Artritis piógena, no especificada, tobillo y pie
M00.98;Artritis piógena, no especificada, otros
M00.99;Artritis piógena, no especificada, sitio no especificado
M01.00;Artritis meningocócica (A39.8 ), sitios múltiples
M01.01;Artritis meningocócica (A39.8 ), región del hombro
M01.02;Artritis meningocócica (A39.8 ), brazo
M01.03;Artritis meningocócica (A39.8 ), antebrazo
M01.04;Artritis meningocócica (A39.8 ), mano
M01.05;Artritis meningocócica (A39.8 ), región pelviana y muslo
M01.06;Artritis meningocócica (A39.8 ), pierna
M01.07;Artritis meningocócica (A39.8 ), tobillo y pie
M01.08;Artritis meningocócica (A39.8 ), otros
M01.09;Artritis meningocócica (A39.8 ), sitio no especificado
M01.10;Artritis tuberculosa (A18.0 ), sitios múltiples
M01.11;Artritis tuberculosa (A18.0 ), región del hombro
M01.12;Artritis tuberculosa (A18.0 ), brazo
M01.13;Artritis tuberculosa (A18.0 ), antebrazo
M01.14;Artritis tuberculosa (A18.0 ), mano
M01.15;Artritis tuberculosa (A18.0 ), región pelviana y muslo
M01.16;Artritis tuberculosa (A18.0 ), pierna
M01.17;Artritis tuberculosa (A18.0 ), tobillo y pie
M01.18;Artritis tuberculosa (A18.0 ), otros
M01.19;Artritis tuberculosa (A18.0 ), sitio no especificado
M01.20;Artritis en la enfermedad de Lyme (A69.2 ), sitios múltiples
M01.21;Artritis en la enfermedad de Lyme (A69.2 ), región del hombro
M01.22;Artritis en la enfermedad de Lyme (A69.2 ), brazo
M01.23;Artritis en la enfermedad de Lyme (A69.2 ), antebrazo
M01.24;Artritis en la enfermedad de Lyme (A69.2 ), mano
M01.25;Artritis en la enfermedad de Lyme (A69.2 ), región pelviana y muslo
M01.26;Artritis en la enfermedad de Lyme (A69.2 ), pierna
M01.27;Artritis en la enfermedad de Lyme (A69.2 ), tobillo y pie
M01.28;Artritis en la enfermedad de Lyme (A69.2 ), otros
M01.29;Artritis en la enfermedad de Lyme (A69.2 ), sitio no especificado
M01.30;Artritis en otras enfermedades bacterianas clasificadas en otra parte, sitios múltiples
M01.31;Artritis en otras enfermedades bacterianas clasificadas en otra parte, región del hombro
M01.32;Artritis en otras enfermedades bacterianas clasificadas en otra parte, brazo
M01.33;Artritis en otras enfermedades bacterianas clasificadas en otra parte, antebrazo
M01.34;Artritis en otras enfermedades bacterianas clasificadas en otra parte, mano
M01.35;Artritis en otras enfermedades bacterianas clasificadas en otra parte, región pelviana y muslo
M01.36;Artritis en otras enfermedades bacterianas clasificadas en otra parte, pierna
M01.37;Artritis en otras enfermedades bacterianas clasificadas en otra parte, tobillo y pie
M01.38;Artritis en otras enfermedades bacterianas clasificadas en otra parte, otros
M01.39;Artritis en otras enfermedades bacterianas clasificadas en otra parte, sitio no especificado
M01.40;Artritis en rubéola (B06.8 ), sitios múltiples
M01.41;Artritis en rubéola (B06.8 ), región del hombro
M01.42;Artritis en rubéola (B06.8 ), brazo
M01.43;Artritis en rubéola (B06.8 ), antebrazo
M01.44;Artritis en rubéola (B06.8 ), mano
M01.45;Artritis en rubéola (B06.8 ), región pelviana y muslo
M01.46;Artritis en rubéola (B06.8 ), pierna
M01.47;Artritis en rubéola (B06.8 ), tobillo y pie
M01.48;Artritis en rubéola (B06.8 ), otros
M01.49;Artritis en rubéola (B06.8 ), sitio no especificado
M01.50;Artritis en otras enfermedades virales clasificadas en otra parte, sitios múltiples
M01.51;Artritis en otras enfermedades virales clasificadas en otra parte, región del hombro
M01.52;Artritis en otras enfermedades virales clasificadas en otra parte, brazo
M01.53;Artritis en otras enfermedades virales clasificadas en otra parte, antebrazo
M01.54;Artritis en otras enfermedades virales clasificadas en otra parte, mano
M01.55;Artritis en otras enfermedades virales clasificadas en otra parte, región pelviana y muslo
M01.56;Artritis en otras enfermedades virales clasificadas en otra parte, pierna
M01.57;Artritis en otras enfermedades virales clasificadas en otra parte, tobillo y pie
M01.58;Artritis en otras enfermedades virales clasificadas en otra parte, otros
M01.59;Artritis en otras enfermedades virales clasificadas en otra parte, sitio no especificado
M01.60;Artritis en micosis (B35- B49 ), sitios múltiples
M01.61;Artritis en micosis (B35- B49 ), región del hombro
M01.62;Artritis en micosis (B35- B49 ), brazo
M01.63;Artritis en micosis (B35- B49 ), antebrazo
M01.64;Artritis en micosis (B35- B49 ), mano
M01.65;Artritis en micosis (B35- B49 ), región pelviana y muslo
M01.66;Artritis en micosis (B35- B49 ), pierna
M01.67;Artritis en micosis (B35- B49 ), tobillo y pie
M01.68;Artritis en micosis (B35- B49 ), otros
M01.69;Artritis en micosis (B35- B49 ), sitio no especificado
M01.80;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, sitios múltiples
M01.81;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, región del hombro
M01.82;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, brazo
M01.83;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, antebrazo
M01.84;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, mano
M01.85;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, región pelviana y muslo
M01.86;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, pierna
M01.87;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, tobillo y pie
M01.88;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, otros
M01.89;Artritis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte, sitio no especificado
M02.00;Artropatía consecutiva a derivación intestinal, sitios múltiples
M02.01;Artropatía consecutiva a derivación intestinal, región del hombro
M02.02;Artropatía consecutiva a derivación intestinal, brazo
M02.03;Artropatía consecutiva a derivación intestinal, antebrazo
M02.04;Artropatía consecutiva a derivación intestinal, mano
M02.05;Artropatía consecutiva a derivación intestinal, región pelviana y muslo
M02.06;Artropatía consecutiva a derivación intestinal, pierna
M02.07;Artropatía consecutiva a derivación intestinal, tobillo y pie
M02.08;Artropatía consecutiva a derivación intestinal, otros
M02.09;Artropatía consecutiva a derivación intestinal, sitio no especificado
M02.10;Artropatía postdisentérica, sitios múltiples
M02.11;Artropatía postdisentérica, región del hombro
M02.12;Artropatía postdisentérica, brazo
M02.13;Artropatía postdisentérica, antebrazo
M02.14;Artropatía postdisentérica, mano
M02.15;Artropatía postdisentérica, región pelviana y muslo
M02.16;Artropatía postdisentérica, pierna
M02.17;Artropatía postdisentérica, tobillo y pie
M02.18;Artropatía postdisentérica, otros
M02.19;Artropatía postdisentérica, sitio no especificado
M02.20;Artropatía postinmunización, sitios múltiples
M02.21;Artropatía postinmunización, región del hombro
M02.22;Artropatía postinmunización, brazo
M02.23;Artropatía postinmunización, antebrazo
M02.24;Artropatía postinmunización, mano
M02.25;Artropatía postinmunización, región pelviana y muslo
M02.26;Artropatía postinmunización, pierna
M02.27;Artropatía postinmunización, tobillo y pie
M02.28;Artropatía postinmunización, otros
M02.29;Artropatía postinmunización, sitio no especificado
M02.30;Enfermedad de Reiter, sitios múltiples
M02.31;Enfermedad de Reiter, región del hombro
M02.32;Enfermedad de Reiter, brazo
M02.33;Enfermedad de Reiter, antebrazo
M02.34;Enfermedad de Reiter, mano
M02.35;Enfermedad de Reiter, región pelviana y muslo
M02.36;Enfermedad de Reiter, pierna
M02.37;Enfermedad de Reiter, tobillo y pie
M02.38;Enfermedad de Reiter, otros
M02.39;Enfermedad de Reiter, sitio no especificado
M02.80;Otras artropatías reactivas, sitios múltiples
M02.81;Otras artropatías reactivas, región del hombro
M02.82;Otras artropatías reactivas, brazo
M02.83;Otras artropatías reactivas, antebrazo
M02.84;Otras artropatías reactivas, mano
M02.85;Otras artropatías reactivas, región pelviana y muslo
M02.86;Otras artropatías reactivas, pierna
M02.87;Otras artropatías reactivas, tobillo y pie
M02.88;Otras artropatías reactivas, otros
M02.89;Otras artropatías reactivas, sitio no especificado
M02.90;Artropatía reactiva, no especificada, sitios múltiples
M02.92;Artropatía reactiva, no especificada, brazo
M02.93;Artropatía reactiva, no especificada, antebrazo
M02.94;Artropatía reactiva, no especificada, mano
M02.95;Artropatía reactiva, no especificada, región pelviana y muslo
M02.96;Artropatía reactiva, no especificada, pierna
M02.97;Artropatía reactiva, no especificada, tobillo y pie
M02.98;Artropatía reactiva, no especificada, otros
M02.99;Artropatía reactiva, no especificada, sitio no especificado
M03.00;Artritis postmeningocócica (A39.8 ), sitios múltiples
M03.01;Artritis postmeningocócica (A39.8 ), región del hombro
M03.02;Artritis postmeningocócica (A39.8 ), brazo
M03.03;Artritis postmeningocócica (A39.8 ), antebrazo
M03.04;Artritis postmeningocócica (A39.8 ), mano
M03.05;Artritis postmeningocócica (A39.8 ), región pelviana y muslo
M03.06;Artritis postmeningocócica (A39.8 ), pierna
M03.07;Artritis postmeningocócica (A39.8 ), tobillo y pie
M03.08;Artritis postmeningocócica (A39.8 ), otros
M03.09;Artritis postmeningocócica (A39.8 ), sitio no especificado
M03.10;Artropatía postinfecciosa en sífilis, sitios múltiples
M03.11;Artropatía postinfecciosa en sífilis, región del hombro
M03.12;Artropatía postinfecciosa en sífilis, brazo
M03.13;Artropatía postinfecciosa en sífilis, antebrazo
M03.14;Artropatía postinfecciosa en sífilis, mano
M03.15;Artropatía postinfecciosa en sífilis, región pelviana y muslo
M03.16;Artropatía postinfecciosa en sífilis, pierna
M03.17;Artropatía postinfecciosa en sífilis, tobillo y pie
M03.18;Artropatía postinfecciosa en sífilis, otros
M03.19;Artropatía postinfecciosa en sífilis, sitio no especificado
M03.20;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, sitios múltiples
M03.21;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, región del hombro
M03.22;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, brazo
M03.23;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, antebrazo
M03.24;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, mano
M03.25;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, región pelviana y muslo
M03.26;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, pierna
M03.27;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, tobillo y pie
M03.28;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, otros
M03.29;Otras artropatías postinfecciosas en enfermedades clasificadas en otra parte, sitio no especificado
M03.60;Artropatía reactiva en otras enfermedades clasificadas en otra parte, sitios múltiples
M03.61;Artropatía reactiva en otras enfermedades clasificadas en otra parte, región del hombro
M03.62;Artropatía reactiva en otras enfermedades clasificadas en otra parte, brazo
M03.63;Artropatía reactiva en otras enfermedades clasificadas en otra parte, antebrazo
M03.64;Artropatía reactiva en otras enfermedades clasificadas en otra parte, mano
M03.65;Artropatía reactiva en otras enfermedades clasificadas en otra parte, región pelviana y muslo
M03.66;Artropatía reactiva en otras enfermedades clasificadas en otra parte, pierna
M03.67;Artropatía reactiva en otras enfermedades clasificadas en otra parte, tobillo y pie
M03.68;Artropatía reactiva en otras enfermedades clasificadas en otra parte, otros
M03.69;Artropatía reactiva en otras enfermedades clasificadas en otra parte, sitio no especificado
M05.00;Síndrome de Felty, sitios múltiples
M05.01;Síndrome de Felty, región del hombro
M05.02;Síndrome de Felty, brazo
M05.03;Síndrome de Felty, antebrazo
M05.04;Síndrome de Felty, mano
M05.05;Síndrome de Felty, región pelviana y muslo
M05.06;Síndrome de Felty, pierna
M05.07;Síndrome de Felty, tobillo y pie
M05.08;Síndrome de Felty, otros
M05.09;Síndrome de Felty, sitio no especificado
M05.10;Enfermedad reumatoide del pulmón (J99.0*), sitios múltiples
M05.11;Enfermedad reumatoide del pulmón (J99.0*), región del hombro
M05.12;Enfermedad reumatoide del pulmón (J99.0*), brazo
M05.13;Enfermedad reumatoide del pulmón (J99.0*), antebrazo
M05.14;Enfermedad reumatoide del pulmón (J99.0*), mano
M05.15;Enfermedad reumatoide del pulmón (J99.0*), región pelviana y muslo
M05.16;Enfermedad reumatoide del pulmón (J99.0*), pierna
M05.17;Enfermedad reumatoide del pulmón (J99.0*), tobillo y pie
M05.18;Enfermedad reumatoide del pulmón (J99.0*), otros
M05.19;Enfermedad reumatoide del pulmón (J99.0*), sitio no especificado
M05.20;Vasculitis reumatoide, sitios múltiples
M05.21;Vasculitis reumatoide, región del hombro
M05.22;Vasculitis reumatoide, brazo
M05.23;Vasculitis reumatoide, antebrazo
M05.24;Vasculitis reumatoide, mano
M05.25;Vasculitis reumatoide, región pelviana y muslo
M05.26;Vasculitis reumatoide, pierna
M05.27;Vasculitis reumatoide, tobillo y pie
M05.28;Vasculitis reumatoide, otros
M05.29;Vasculitis reumatoide, sitio no especificado
M05.30;Artritis reumatoide con compromiso de otros órganos o sistemas, sitios múltiples
M05.31;Artritis reumatoide con compromiso de otros órganos o sistemas, región del hombro
M05.32;Artritis reumatoide con compromiso de otros órganos o sistemas, brazo
M05.33;Artritis reumatoide con compromiso de otros órganos o sistemas, antebrazo
M05.34;Artritis reumatoide con compromiso de otros órganos o sistemas, mano
M05.35;Artritis reumatoide con compromiso de otros órganos o sistemas, región pelviana y muslo
M05.36;Artritis reumatoide con compromiso de otros órganos o sistemas, pierna
M05.37;Artritis reumatoide con compromiso de otros órganos o sistemas, tobillo y pie
M05.38;Artritis reumatoide con compromiso de otros órganos o sistemas, otros
M05.39;Artritis reumatoide con compromiso de otros órganos o sistemas, sitio no especificado
M05.80;Otras artritis reumatoideas seropositivas, sitios múltiples
M05.81;Otras artritis reumatoideas seropositivas, región del hombro
M05.82;Otras artritis reumatoideas seropositivas, brazo
M05.83;Otras artritis reumatoideas seropositivas, antebrazo
M05.84;Otras artritis reumatoideas seropositivas, mano
M05.85;Otras artritis reumatoideas seropositivas, región pelviana y muslo
M05.86;Otras artritis reumatoideas seropositivas, pierna
M05.87;Otras artritis reumatoideas seropositivas, tobillo y pie
M05.88;Otras artritis reumatoideas seropositivas, otros
M05.89;Otras artritis reumatoideas seropositivas, sitio no especificado
M05.90;Artritis reumatoidea seropositiva, sin otra especificación, sitios múltiples
M05.91;Artritis reumatoidea seropositiva, sin otra especificación, región del hombro
M05.92;Artritis reumatoidea seropositiva, sin otra especificación, brazo
M05.93;Artritis reumatoidea seropositiva, sin otra especificación, antebrazo
M05.94;Artritis reumatoidea seropositiva, sin otra especificación, mano
M05.95;Artritis reumatoidea seropositiva, sin otra especificación, región pelviana y muslo
M05.96;Artritis reumatoidea seropositiva, sin otra especificación, pierna
M05.97;Artritis reumatoidea seropositiva, sin otra especificación, tobillo y pie
M05.98;Artritis reumatoidea seropositiva, sin otra especificación, otros
M05.99;Artritis reumatoidea seropositiva, sin otra especificación, sitio no especificado
M06.00;Artritis reumatoide seronegativa, sitios múltiples
M06.01;Artritis reumatoide seronegativa, región del hombro
M06.02;Artritis reumatoide seronegativa, brazo
M06.03;Artritis reumatoide seronegativa, antebrazo
M06.04;Artritis reumatoide seronegativa, mano
M06.05;Artritis reumatoide seronegativa, región pelviana y muslo
M06.06;Artritis reumatoide seronegativa, pierna
M06.07;Artritis reumatoide seronegativa, tobillo y pie
M06.08;Artritis reumatoide seronegativa, otros
M06.09;Artritis reumatoide seronegativa, sitio no especificado
M06.10;Enfermedad de Still de comienzo en el adulto, sitios múltiples
M06.11;Enfermedad de Still de comienzo en el adulto, región del hombro
M06.12;Enfermedad de Still de comienzo en el adulto, brazo
M06.13;Enfermedad de Still de comienzo en el adulto, antebrazo
M06.14;Enfermedad de Still de comienzo en el adulto, mano
M06.15;Enfermedad de Still de comienzo en el adulto, región pelviana y muslo
M06.16;Enfermedad de Still de comienzo en el adulto, pierna
M06.17;Enfermedad de Still de comienzo en el adulto, tobillo y pie
M06.18;Enfermedad de Still de comienzo en el adulto, otros
M06.19;Enfermedad de Still de comienzo en el adulto, sitio no especificado
M06.20;Bursitis reumatoide, sitios múltiples
M06.21;Bursitis reumatoide, región del hombro
M06.22;Bursitis reumatoide, brazo
M06.23;Bursitis reumatoide, antebrazo
M06.24;Bursitis reumatoide, mano
M06.25;Bursitis reumatoide, región pelviana y muslo
M06.26;Bursitis reumatoide, pierna
M06.27;Bursitis reumatoide, tobillo y pie
M06.28;Bursitis reumatoide, otros
M06.29;Bursitis reumatoide, sitio no especificado
M06.30;Nódulo reumatoide, sitios múltiples
M06.31;Nódulo reumatoide, región del hombro
M06.32;Nódulo reumatoide, brazo
M06.33;Nódulo reumatoide, antebrazo
M06.34;Nódulo reumatoide, mano
M06.35;Nódulo reumatoide, región pelviana y muslo
M06.36;Nódulo reumatoide, pierna
M06.37;Nódulo reumatoide, tobillo y pie
M06.38;Nódulo reumatoide, otros
M06.39;Nódulo reumatoide, sitio no especificado
M06.40;Poliartropatía inflamatoria, sitios múltiples
M06.41;Poliartropatía inflamatoria, región del hombro
M06.42;Poliartropatía inflamatoria, brazo
M06.43;Poliartropatía inflamatoria, antebrazo
M06.44;Poliartropatía inflamatoria, mano
M06.45;Poliartropatía inflamatoria, región pelviana y muslo
M06.46;Poliartropatía inflamatoria, pierna
M06.47;Poliartropatía inflamatoria, tobillo y pie
M06.48;Poliartropatía inflamatoria, otros
M06.49;Poliartropatía inflamatoria, sitio no especificado
M06.80;Otras artritis reumatoides especificadas, sitios múltiples
M06.81;Otras artritis reumatoides especificadas, región del hombro
M06.82;Otras artritis reumatoides especificadas, brazo
M06.83;Otras artritis reumatoides especificadas, antebrazo
M06.84;Otras artritis reumatoides especificadas, mano
M06.85;Otras artritis reumatoides especificadas, región pelviana y muslo
M06.86;Otras artritis reumatoides especificadas, pierna
M06.87;Otras artritis reumatoides especificadas, tobillo y pie
M06.88;Otras artritis reumatoides especificadas, otros
M06.89;Otras artritis reumatoides especificadas, sitio no especificado
M06.90;Artritis reumatoide, no especificada, sitios múltiples
M06.91;Artritis reumatoide, no especificada, región del hombro
M06.92;Artritis reumatoide, no especificada, brazo
M06.93;Artritis reumatoide, no especificada, antebrazo
M06.94;Artritis reumatoide, no especificada, mano
M06.95;Artritis reumatoide, no especificada, región pelviana y muslo
M06.96;Artritis reumatoide, no especificada, pierna
M06.97;Artritis reumatoide, no especificada, tobillo y pie
M06.98;Artritis reumatoide, no especificada, otros
M06.99;Artritis reumatoide, no especificada, sitio no especificado
M07.04;Artropatía psoriásica interfalángica distal (L40.5 ), mano
M07.07;Artropatía psoriásica interfalángica distal (L40.5 ), tobillo y pie
M07.09;Artropatía psoriásica interfalángica distal (L40.5 ), sitio no especificado
M07.10;Artritis mutilante (L40.5 ), sitios múltiples
M07.11;Artritis mutilante (L40.5 ), región del hombro
M07.12;Artritis mutilante (L40.5 ), brazo
M07.13;Artritis mutilante (L40.5 ), antebrazo
M07.14;Artritis mutilante (L40.5 ), mano
M07.15;Artritis mutilante (L40.5 ), región pelviana y muslo
M07.16;Artritis mutilante (L40.5 ), pierna
M07.17;Artritis mutilante (L40.5 ), tobillo y pie
M07.18;Artritis mutilante (L40.5 ), otros
M07.19;Artritis mutilante (L40.5 ), sitio no especificado
M07.28;Espondilitis psoriásica (L40.5¿) - Otros
M07.29;Espondilitis psoriásica (L40.5¿) - Sitio no especificado
M07.30;Otras artropatías psoriásicas (L40.5 ), sitios múltiples
M07.31;Otras artropatías psoriásicas (L40.5 ), región del hombro
M07.32;Otras artropatías psoriásicas (L40.5 ), brazo
M07.33;Otras artropatías psoriásicas (L40.5 ), antebrazo
M07.34;Otras artropatías psoriásicas (L40.5 ), mano
M07.35;Otras artropatías psoriásicas (L40.5 ), región pelviana y muslo
M07.36;Otras artropatías psoriásicas (L40.5 ), pierna
M07.37;Otras artropatías psoriásicas (L40.5 ), tobillo y pie
M07.38;Otras artropatías psoriásicas (L40.5 ), otros
M07.39;Otras artropatías psoriásicas (L40.5 ), sitio no especificado
M07.40;Artropatía en la enfermedad de Crohn [enteritis regional], sitios múltiples
M07.42;Artropatía en la enfermedad de Crohn [enteritis regional], brazo
M07.43;Artropatía en la enfermedad de Crohn [enteritis regional], antebrazo
M07.44;Artropatía en la enfermedad de Crohn [enteritis regional], mano
M07.45;Artropatía en la enfermedad de Crohn [enteritis regional], región pelviana y muslo
M07.46;Artropatía en la enfermedad de Crohn [enteritis regional], pierna
M07.47;Artropatía en la enfermedad de Crohn [enteritis regional], tobillo y pie
M07.48;Artropatía en la enfermedad de Crohn [enteritis regional], otros
M07.49;Artropatía en la enfermedad de Crohn [enteritis regional], sitio no especificado
M07.50;Artropatía en la colitis ulcerativa (K51.- ), sitios múltiples
M07.51;Artropatía en la colitis ulcerativa (K51.- ), región del hombro
M07.52;Artropatía en la colitis ulcerativa (K51.- ), brazo
M07.53;Artropatía en la colitis ulcerativa (K51.- ), antebrazo
M07.54;Artropatía en la colitis ulcerativa (K51.- ), mano
M07.55;Artropatía en la colitis ulcerativa (K51.- ), región pelviana y muslo
M07.56;Artropatía en la colitis ulcerativa (K51.- ), pierna
M07.57;Artropatía en la colitis ulcerativa (K51.- ), tobillo y pie
M07.58;Artropatía en la colitis ulcerativa (K51.- ), otros
M07.59;Artropatía en la colitis ulcerativa (K51.- ), sitio no especificado
M07.60;Otras artropatías enteropáticas, sitios múltiples
M07.61;Otras artropatías enteropáticas, región del hombro
M07.62;Otras artropatías enteropáticas, brazo
M07.63;Otras artropatías enteropáticas, antebrazo
M07.64;Otras artropatías enteropáticas, mano
M07.65;Otras artropatías enteropáticas, región pelviana y muslo
M07.66;Otras artropatías enteropáticas, pierna
M07.67;Otras artropatías enteropáticas, tobillo y pie
M07.68;Otras artropatías enteropáticas, otros
M07.69;Otras artropatías enteropáticas, sitio no especificado
M08.00;Artritis reumatoide juvenil, sitios múltiples
M08.03;Artritis reumatoide juvenil, antebrazo
M08.04;Artritis reumatoide juvenil, mano
M08.05;Artritis reumatoide juvenil, región pelviana y muslo
M08.06;Artritis reumatoide juvenil, pierna
M08.07;Artritis reumatoide juvenil, tobillo y pie
M08.08;Artritis reumatoide juvenil, otros
M08.09;Artritis reumatoide juvenil, sitio no especificado
M08.10;Espondilitis anquilosante juvenil, sitios múltiples
M08.11;Espondilitis anquilosante juvenil, región del hombro
M08.12;Espondilitis anquilosante juvenil, brazo
M08.13;Espondilitis anquilosante juvenil, antebrazo
M08.14;Espondilitis anquilosante juvenil, mano
M08.15;Espondilitis anquilosante juvenil, región pelviana y muslo
M08.16;Espondilitis anquilosante juvenil, pierna
M08.17;Espondilitis anquilosante juvenil, tobillo y pie
